Base Name;Cell Position;Fiber Position;Label;Index
TL3_012;(147.63963317871094, -65.43376159667969, 134.79689025878906);(123.68729400634766, -58.92715835571289, 113.38809967041016);3;111
TL3_013;(144.0433349609375, -74.7218017578125, 129.40431213378906);(116.14075469970703, -67.21784973144531, 113.32228088378906);3;112
TL3_014;(158.47438049316406, -89.33626556396484, 124.35100555419922);(130.46762084960938, -76.76956176757812, 97.35053253173828);3;113
TL3_015;(154.34226989746094, -76.01648712158203, 132.57606506347656);(127.44551849365234, -64.45646667480469, 115.97589111328125);3;114
TL3_016;(134.55096435546875, -91.7171630859375, 143.9228057861328);(107.60700225830078, -77.25897979736328, 125.69583129882812);3;115
TL3_017;(137.7151641845703, -95.04702758789062, 135.5146026611328);(112.93414306640625, -80.42587280273438, 117.00701141357422);3;116
TL3_018;(139.6946563720703, -85.60948181152344, 135.10031127929688);(114.78134155273438, -73.1162109375, 116.5971450805664);3;117
TL3_019;(135.12867736816406, -74.2238998413086, 131.09190368652344);(113.90426635742188, -65.60916137695312, 115.59896850585938);3;118
TL3_020;(119.42945098876953, -85.38146209716797, 158.40855407714844);(90.13046264648438, -74.7984848022461, 147.7493438720703);3;119
TL3_021;(131.0746612548828, -87.03986358642578, 156.314208984375);(104.82421112060547, -77.49748229980469, 134.89752197265625);3;120
TL3_023;(131.0571746826172, -102.50251007080078, 145.0036163330078);(101.17044067382812, -89.89313507080078, 126.52632904052734);3;122
TL3_024;(113.90694427490234, -105.2005386352539, 148.9813995361328);(85.37139129638672, -91.61753845214844, 135.47169494628906);3;123
TL3_002;(163.21185302734375, -46.54636764526367, 124.79461669921875);(134.1807098388672, -42.0245361328125, 110.25452423095703);3;101
TL3_003;(156.50189208984375, -49.78383255004883, 137.7936553955078);(130.09181213378906, -44.34569549560547, 119.26500701904297);3;102
TL3_004;(144.6629180908203, -46.528221130371094, 138.61302185058594);(117.7398452758789, -43.02738952636719, 124.00074768066406);3;103
TL3_005;(155.8731689453125, -49.35897445678711, 136.07757568359375);(127.80866241455078, -45.72115707397461, 125.49934387207031);3;104
